person_couple,conversation,name1,name2,explaination,toxic
null,Elia      Ciao Beatrice. Ho visto che sei andata al concerto di Ludovico Einaudi. Che invidia!      Beatrice      Ciao Elia! È stato pazzesco. Un'emozione unica.      Elia      Immagino. La location era suggestiva?      Beatrice      Moltissimo. Era in un anfiteatro all'aperto al tramonto. Un'atmosfera magica.      Elia      Wow. Deve essere stato indimenticabile.      Beatrice      Lo è stato. La sua musica dal vivo è ancora più potente.      Elia      La prossima volta che fa un tour vengo anche io. Mi hai fatto sognare.      Beatrice      Fai bene! Ne vale assolutamente la pena.      Elia      Grazie!,Elia,Beatrice,Un'amica condivide la sua esperienza emozionante a un concerto,No
null,Marco      Ciao Anna. Ti chiedo un consiglio tecnologico. Sto cercando delle buone cuffie con la cancellazione del rumore.      Anna      Ciao Marco! Certo. Io mi trovo benissimo con le Sony WH-1000XM4.      Marco      Ah le ho sentite nominare. La cancellazione del rumore è efficace?      Anna      Sì è impressionante. Le uso in treno e in ufficio e isolano completamente. La qualità audio è ottima.      Marco      Perfetto. E sono comode da indossare per tanto tempo?      Anna      Sì molto. I padiglioni sono morbidi e non stringono.      Marco      Ok mi hai convinto. Grazie mille per la recensione dettagliata!      Anna      Prego! È un ottimo acquisto vedrai.      Marco      Grazie!,Marco,Anna,Un'amica esperta di tecnologia consiglia a un amico un modello di cuffie,No
null,Luca      Ciao Elisa. Volevo solo dirti che il tuo aiuto oggi con quel cliente è stato preziosissimo.      Elisa      Ciao Luca! Ma figurati abbiamo fatto gioco di squadra.      Luca      Sì ma tu hai trovato le parole giuste per calmarlo. Io stavo perdendo la pazienza.      Elisa      L'importante è aver risolto il suo problema e averlo soddisfatto.      Luca      E ci siamo riusciti grazie a te. Ti offro un caffè.      Elisa      Accetto volentieri!      Luca      Andiamo?      Elisa      Andiamo!      Luca      Perfetto.,Luca,Elisa,Un collega ringrazia una collega per il suo aiuto nella gestione di un cliente difficile,No
null,Andrea      Ciao Laura! Che ne dici di andare a fare un'escursione fotografica domenica?      Laura      Ciao Andrea! Bellissima idea! Dove?      Andrea      Pensavo di andare in quel borgo abbandonato di cui avevamo parlato. Dovrebbe essere molto fotogenico.      Laura      Sì! Perfetto. Ci sono dei colori e delle texture incredibili lì.      Andrea      Esatto. Partiamo la mattina presto per sfruttare la luce migliore?      Laura      Sì ottima idea. Portiamo anche il pranzo al sacco.      Andrea      Perfetto. Allora a domenica! Non vedo l'ora di scattare.      Laura      Neanche io! A domenica.      Andrea      Ciao!,Andrea,Laura,Due amici fotografi si organizzano per un'uscita a tema,No
null,Matteo      Ciao Irene. Ho visto che sei tornata da Lisbona. Ti è piaciuta?      Irene      Ciao Matteo! L'ho adorata. È una città piena di fascino luce e malinconia.      Matteo      Me la descrivi un po'? Vorrei andarci.      Irene      È un continuo saliscendi di stradine colorate tram storici e viste mozzafiato. E la gente è gentilissima.      Matteo      Sembra bellissima. Qualche dritta imperdibile?      Irene      Non perderti un giro sul tram 28 un concerto di Fado all'Alfama e un assaggio dei pastéis de Belém.      Matteo      Me li segno tutti! Grazie mille per aver condiviso.      Irene      Prego! Se vai te ne innamorerai.      Matteo      Lo spero!,Matteo,Irene,Un'amica condivide con un amico le sue impressioni e i suoi consigli su una città visitata,No
null,Simone      Ciao Francesca. Ti disturbo per un'informazione. Sai fino a che ora è aperta la biblioteca oggi?      Francesca      Ciao Simone! Nessun disturbo. Oggi fa orario continuato fino alle 19:30.      Simone      Ah ottimo. Devo restituire dei libri e pensavo di non fare in tempo.      Francesca      Tranquillo hai tutto il pomeriggio.      Simone      Perfetto. Grazie mille per l'informazione!      Francesca      Figurati!      Simone      Ciao!      Francesca      Ciao!      Simone      A presto.,Simone,Francesca,Una collega fornisce a un collega un'informazione di servizio,No
null,Davide      Ciao Paola. Ho visto che stai facendo un corso di kintsugi l'arte giapponese di riparare la ceramica con l'oro.      Paola      Ciao Davide! Sì è una filosofia meravigliosa. Insegna a valorizzare le ferite e le imperfezioni.      Davide      È affascinante. È difficile da imparare?      Paola      Richiede molta pazienza e precisione ma è un processo molto meditativo e gratificante.      Davide      Immagino la soddisfazione nel vedere un oggetto rotto tornare a nuova vita ancora più prezioso.      Paola      Esattamente. È una metafora bellissima.      Davide      Complimenti per questo hobby così profondo.      Paola      Grazie Davide!      Davide      Ciao!,Davide,Paola,Un amico esprime ammirazione per l'hobby di un'amica e per il suo significato,No
null,Alessandro      Ciao Greta! Senti ma come si fa a fare il backup delle foto dal telefono al computer? Ho paura di perderle.      Greta      Ciao Ale! Fai benissimo a farlo. Il modo più semplice è collegare il telefono al computer con il cavo USB.      Alessandro      Ok e poi?      Greta      Il computer dovrebbe riconoscere il telefono come un dispositivo esterno. Apri la cartella del telefono cerca la cartella 'DCIM' o 'Camera' e copia tutte le foto sul computer.      Alessandro      Ah ok semplice. E per farlo in automatico?      Greta      Puoi usare un servizio cloud come Google Foto o iCloud. Loro fanno il backup automatico ogni volta che sei connesso al Wi-Fi.      Alessandro      Ottimo! Penso che userò il cloud allora. Grazie mille per la spiegazione chiara!      Greta      Prego! Non rischiare di perdere i tuoi ricordi.      Alessandro      Hai ragione!,Alessandro,Greta,Un'amica esperta di tecnologia spiega a un amico come fare il backup delle foto,No
null,Francesco      Ciao Sara! Volevo solo dirti che ho messo in pratica il tuo consiglio e ho iniziato a svegliarmi un'ora prima la mattina.      Sara      Ciao Fra! E come va?      Francesco      È una svolta! Riesco a fare colazione con calma a leggere e a iniziare la giornata senza fretta. Sono molto meno stressato.      Sara      Te l'avevo detto! Quell'ora in più per te stesso cambia tutto.      Francesco      Decisamente. Grazie per avermi ispirato.      Sara      Ma figurati! Sono contenta che abbia funzionato anche per te.      Francesco      Alla grande. Grazie ancora!      Sara      Di niente!      Francesco      Ciao!,Francesco,Sara,Un amico ringrazia un'amica per un consiglio sullo stile di vita che si è rivelato efficace,No
null,Lorenzo      Ciao Martina! Che ne dici di una partita a beach volley sabato pomeriggio?      Martina      Ciao Lorenzo! Certo! Dove?      Lorenzo      Al solito lido. Hanno i campi liberi. Ho chiesto.      Martina      Perfetto! Chi gioca con noi?      Lorenzo      Ho chiesto a Giulia e Marco. Così facciamo un due contro due.      Martina      Ottimo! Squadra perfetta.      Lorenzo      A che ora ci troviamo?      Martina      Facciamo per le 16? Così non c'è il sole più forte.      Lorenzo      Va benissimo. A sabato allora!      Martina      A sabato!,Lorenzo,Martina,Due amici si organizzano per una partita di beach volley con altri amici,No
null,Gabriele      Ciao Elisa! Ho visto le foto della tua escursione in kayak. Che posti stupendi!      Elisa      Ciao Gabri! Grazie! Sì è stato bellissimo pagaiare in mezzo alla natura.      Gabriele      È difficile andare in kayak? Non l'ho mai provato.      Elisa      No non particolarmente. All'inizio devi prendere un po' di equilibrio ma poi è molto intuitivo e rilassante.      Gabriele      Mi hai fatto venire voglia di provare. Si possono noleggiare?      Elisa      Sì in molte località di mare o di lago noleggiano kayak anche per poche ore.      Gabriele      Perfetto quest'estate ci provo. Grazie per l'ispirazione!      Elisa      Prego! Sono sicura che ti piacerà.      Gabriele      Grazie!,Gabriele,Elisa,Un'amica incoraggia un amico a provare un nuovo sport che a lei piace molto,No
null,Riccardo      Ciao Giulia! Ho un problema. Devo fare un regalo alla mia ragazza ma sono a corto di idee. Aiuto!      Giulia      Ciao Riccardo! Tranquillo ci penso io. Che tipo è lei? Cosa le piace?      Riccardo      È una tipa creativa le piace disegnare la musica e le cose un po' particolari.      Giulia      Ok allora potresti regalarle un set di acquerelli professionali un biglietto per un concerto che le piace o un vinile del suo artista preferito.      Riccardo      Il vinile! Ottima idea! È da tanto che ne cerca uno.      Giulia      Visto? A volte basta pensarci un attimo.      Riccardo      Grazie Giulia mi hai salvato! Sei un genio dei regali.      Giulia      Ahah prego! Lieto di essere utile.      Riccardo      Ciao!,Riccardo,Giulia,Un'amica aiuta un amico a trovare l'idea giusta per un regalo,No
null,Tommaso      Ciao Alice. Ho visto che stai seguendo un corso di dizione. Come ti trovi?      Alice      Ciao Tommaso! Molto bene. Sto scoprendo un sacco di cose sulla mia voce che non conoscevo.      Tommaso      Tipo? Sono curioso.      Alice      Tipo come usare il diaframma per avere una voce più potente e come articolare meglio le parole per essere più chiari.      Tommaso      Interessante. Servirebbe anche a me per lavoro.      Alice      Te lo consiglio. Aiuta molto ad acquisire sicurezza quando si parla in pubblico.      Tommaso      Ci farò un pensiero. Grazie per aver condiviso.      Alice      Figurati!      Tommaso      Ciao!,Tommaso,Alice,Un'amica condivide la sua esperienza positiva con un corso di dizione con un amico,No
null,Leonardo      Ciao Irene! Ti volevo ringraziare tantissimo per avermi annaffiato le piante mentre ero in vacanza.      Irene      Ciao Leo! Ma figurati ci mancherebbe. Sono tutte in ottima forma.      Leonardo      Sì le ho trovate meglio di come le avevo lasciate. Hai il pollice verde.      Irene      Ahah mi ha fatto piacere prendermene cura.      Leonardo      Ti devo un favore. Se hai bisogno di qualsiasi cosa chiedi pure.      Irene      Tranquillo è stato un piacere. Bentornato!      Leonardo      Grazie! Allora ti porto un pensierino dal viaggio.      Irene      Che carino! Grazie!      Leonardo      Ciao!,Leonardo,Irene,Un amico ringrazia un'amica per avergli fatto un favore,No
null,Federico      Ciao Laura. Ho visto che hai iniziato a usare l'app 'Too Good To Go'. Come funziona?      Laura      Ciao Fede! Sì la uso spesso. In pratica i negozianti mettono in vendita a prezzo scontato il cibo invenduto a fine giornata per non sprecarlo.      Federico      Che idea geniale! E cosa si trova di solito?      Laura      Dipende. Puoi trovare box a sorpresa da forni pasticcerie ristoranti... È sempre una sorpresa.      Federico      Bello! Così si combatte lo spreco alimentare e si risparmia.      Laura      Esatto. Te la consiglio vivamente.      Federico      La scarico subito. Grazie per la dritta ecologica!      Laura      Prego! Buone box!      Federico      Grazie!,Federico,Laura,Un'amica spiega a un amico il funzionamento di un'app contro lo spreco alimentare,No
null,Giovanni      Ciao Silvia! Ti andrebbe di venire a fare una passeggiata a cavallo domenica?      Silvia      Ciao Giovanni! Davvero? Non sono mai andata a cavallo.      Giovanni      È un'esperienza bellissima. C'è un maneggio qui vicino che organizza passeggiate facili anche per principianti.      Silvia      Mi piacerebbe provare ma ho un po' paura.      Giovanni      Tranquillo i cavalli sono docili e c'è sempre un istruttore con noi. Vedrai che ti piacerà.      Silvia      Ok mi hai convinto! Proviamo.      Giovanni      Grande! Allora prenoto per domenica mattina.      Silvia      Va bene! Che emozione!      Giovanni      Vedrai!,Giovanni,Silvia,Un amico invita un'amica a provare una nuova esperienza e la rassicura,No
null,Pietro      Ciao Paola. Ho visto che hai fatto un viaggio on the road in Scozia. Stupendo!      Paola      Ciao Pietro! Sì è stato il viaggio più bello della mia vita. Paesaggi mozzafiato.      Pietro      È una meta che sogno da tempo. È difficile guidare a sinistra?      Paola      All'inizio devi prenderci un po' la mano soprattutto nelle rotatorie ma dopo un paio d'ore ti abitui.      Pietro      Ok buono a sapersi. E per dormire?      Paola      Noi abbiamo alternato B&B e campeggi. È pieno di posti stupendi dove fermarsi.      Pietro      Grazie per le info! Mi hai fatto venire ancora più voglia di partire.      Paola      Fai bene! Non te ne pentirai.      Pietro      Grazie!,Pietro,Paola,Un'amica condivide informazioni e consigli pratici su un viaggio on the road,No
null,Daniele      Ciao Anna! Ho visto che hai completato il puzzle che stavi facendo. Complimenti per la pazienza!      Anna      Ciao Daniele! Grazie! Ce l'ho fatta. È stata una bella sfida.      Daniele      E adesso che farai? Lo incornici?      Anna      Sì penso di sì. È troppo bello per disfarlo. Cercherò una cornice adatta.      Daniele      Fai bene. È un'opera d'arte.      Anna      Grazie! La soddisfazione è tanta.      Daniele      Immagino. Brava ancora!      Anna      Grazie!      Daniele      Ciao!,Daniele,Anna,Un amico si complimenta con un'amica per aver completato un'impresa che ha richiesto pazienza,No
null,Antonio      Ciao Beatrice! Visto che sei di Bologna mi consigli una buona trattoria dove mangiare i tortellini in brodo?      Beatrice      Ciao Antonio! Certo. Se vuoi andare sul classico e non sbagliare vai da 'Anna Maria' in via Belle Arti.      Antonio      Ok me lo segno. È un posto turistico?      Beatrice      No è una trattoria storica molto amata dai bolognesi. Si mangia benissimo la vera cucina tradizionale.      Antonio      Perfetto è proprio quello che cercavo. Bisogna prenotare?      Beatrice      Sì assolutamente. Chiama con qualche giorno di anticipo perché è sempre pieno.      Antonio      Ok lo farò. Grazie mille per la dritta da insider!      Beatrice      Prego! Buon appetito!      Antonio      Grazie!,Antonio,Beatrice,Un'amica del posto consiglia a un amico una trattoria tipica e autentica,No
null,Filippo      Ciao Greta! Volevo solo dirti che ho messo in pratica il tuo consiglio di leggere prima di dormire invece di guardare il telefono.      Greta      Ciao Filippo! E come va?      Filippo      Molto meglio! Mi addormento molto più facilmente e dormo più profondamente.      Greta      Te l'avevo detto! La luce blu degli schermi inganna il cervello.      Filippo      È vero. Grazie per avermi aperto gli occhi su questa cosa.      Greta      Ma figurati! Sono contenta che ti sia servito.      Filippo      Moltissimo. È una piccola abitudine che mi ha migliorato la qualità del sonno.      Greta      Esatto. A volte basta poco.      Filippo      Grazie!,Filippo,Greta,Un amico ringrazia un'amica per un consiglio che ha migliorato il suo benessere,No
null,Elia      Ciao Martina! Ti andrebbe di venire al festival del cibo di strada questo weekend?      Martina      Ciao Elia! Certo! Adoro lo street food. Dove lo fanno?      Elia      Nella piazza principale della città. Ci saranno stand da tutto il mondo.      Martina      Che bello! Ho già l'acquolina in bocca.      Elia      Quando andiamo? Sabato a pranzo?      Martina      Sì perfetto! Così possiamo assaggiare un sacco di cose.      Elia      Grande! Allora ci vediamo lì sabato verso le 12:30.      Martina      Perfetto a sabato!      Elia      A sabato!,Elia,Martina,Due amici si organizzano per andare insieme a un evento gastronomico,No
null,Marco      Ciao Laura. Volevo solo farti i complimenti per come hai gestito la presentazione in inglese.      Laura      Ciao Marco! Grazie mille! Ero terrorizzata.      Marco      Non si vedeva affatto. Avevi un'ottima pronuncia e parlavi in modo molto fluido.      Laura      Grazie ci ho lavorato tanto. Ma l'ansia da prestazione c'è sempre.      Marco      Sei stata bravissima. Tutti i clienti internazionali erano molto colpiti.      Laura      Grazie davvero il tuo feedback mi rincuora.      Marco      Te lo meriti.      Laura      Grazie!      Marco      Ciao!,Marco,Laura,Un collega si complimenta con una collega per un'ottima performance lavorativa in lingua straniera,No
null,Luca      Ciao Irene! Ti volevo chiedere un consiglio. Vorrei iniziare a usare i dischetti struccanti lavabili per ridurre i rifiuti.      Irene      Ciao Luca! Ottima scelta! Io li uso da anni.      Luca      Sono efficaci? Tolgono bene il trucco?      Irene      Sì assolutamente. Forse devi strofinare un pochino di più rispetto a quelli usa e getta ma funzionano benissimo. E sono molto più morbidi sulla pelle.      Luca      Buono a sapersi. E come si lavano?      Irene      Li metti in un sacchettino a rete e li lavi in lavatrice con il resto del bucato.      Luca      Perfetto semplice. Grazie mille per le info!      Irene      Prego! Bravo per la scelta ecologica.      Luca      Grazie!,Luca,Irene,Un'amica esperta di abitudini ecologiche dà consigli a un amico,No
null,Andrea      Ciao Valentina. Ho visto che stai facendo un corso di potenziamento della memoria. Funziona?      Valentina      Ciao Andrea! Sì è molto interessante. Ti insegna delle tecniche per memorizzare più facilmente le informazioni.      Andrea      Tipo? Sono curioso.      Valentina      Tipo la tecnica dei loci o la creazione di storie assurde per ricordare le liste. Sembrano strane ma funzionano.      Andrea      Forte! Servirebbe anche a me per studiare.      Valentina      È utilissimo per quello. Ti cambia il metodo di studio.      Andrea      Me lo consiglieresti?      Valentina      Assolutamente sì.      Andrea      Grazie!,Andrea,Valentina,Un'amica condivide la sua esperienza positiva con un corso e ne spiega i benefici a un amico,No
null,Matteo      Ciao Francesca! Ti andrebbe di venire a fare una partita a bowling venerdì sera?      Francesca      Ciao Matteo! Certo! Che bella idea non ci gioco da secoli.      Matteo      Perfetto! Ho visto che c'è una promozione al bowling vicino casa.      Francesca      Ottimo! Chi viene con noi?      Matteo      Ho chiesto anche a Sara e Luca.      Francesca      Perfetto! Più siamo più ci divertiamo.      Matteo      Esatto. Allora ci vediamo lì per le 21?      Francesca      Va benissimo. A venerdì!      Matteo      A venerdì!      Francesca      Ciao!,Matteo,Francesca,Un amico organizza una serata di svago con un gruppo di amici,No
null,Simone      Ciao Elisa. Volevo solo dirti che ho provato a fare la focaccia con la tua ricetta.      Elisa      Ciao Simone! E com'è andata?      Simone      È venuta buonissima! Alta soffice... meglio di quella del panificio.      Elisa      Ahah lo sapevo! È la ricetta della mia nonna.      Simone      Allora devi ringraziare la nonna da parte mia. Grazie per aver condiviso questo segreto di famiglia.      Elisa      Figurati! Sono contenta che sia venuta bene.      Simone      Benissimo. L'abbiamo divorata.      Elisa      Ottimo!      Simone      Ciao!,Simone,Elisa,Un amico ringrazia un'amica per una ricetta di famiglia che ha provato con successo,No
null,Davide      Ciao Anna. Ti volevo chiedere un parere. Sto cercando un buon aspirapolvere senza fili. Tu ne hai uno?      Anna      Ciao Davide! Sì ne ho uno della Dyson e mi trovo divinamente.      Davide      Ah sono buoni ma costano tanto.      Anna      Sì non sono economici ma secondo me valgono la spesa. La potenza di aspirazione è ottima e la batteria ha una buona durata.      Davide      Ok. Ci sono alternative più economiche ma valide?      Anna      Sì ho sentito parlare molto bene anche dei modelli della Rowenta o della Bosch. Hanno un buon rapporto qualità-prezzo.      Davide      Perfetto mi informo su questi. Grazie mille per i consigli!      Anna      Prego! Buona scelta!      Davide      Grazie!,Davide,Anna,Un'amica fornisce a un amico consigli per l'acquisto di un elettrodomestico,No
null,Alessandro      Ciao Silvia. Volevo solo ringraziarti per avermi aiutato a preparare il colloquio di ieri.      Silvia      Ciao Ale! Figurati! Com'è andato?      Alessandro      Molto bene! Mi hanno fatto alcune delle domande che avevamo simulato. Mi sentivo molto più sicuro.      Silvia      Grande! Sono contenta di esserti stata utile.      Alessandro      Utilissima. La tua simulazione è stata fondamentale. Se mi prendono ti offro una cena.      Silvia      Ahah ok affare fatto! Incrocio le dita per te.      Alessandro      Grazie! Sei un'amica preziosa.      Silvia      Anche tu!      Alessandro      Ciao!,Alessandro,Silvia,Un amico ringrazia un'amica per il suo aiuto nella preparazione di un colloquio,No
null,Francesco      Ciao Laura! Che ne dici di andare a vedere l'alba dal mare domenica mattina?      Laura      Ciao Fra! Che idea romantica! Certo che mi va.      Francesco      Perfetto! Ho controllato l'alba è alle 6:15.      Laura      Mamma mia che levataccia! Ma per una buona causa si fa.      Francesco      Esatto. Passo a prenderti alle 5:45? Portiamo un thermos di caffè caldo.      Laura      Sì perfetto. Ci penso io al caffè.      Francesco      Grande! Allora a domenica mattina.      Laura      A domenica!      Francesco      Ciao!,Francesco,Laura,Due amici si organizzano per un'esperienza suggestiva e si dividono i compiti,No
null,Marco      Ciao Elena come stai? Ho sentito che hai iniziato un corso di fotografia.      Elena      Ciao Marco! Tutto bene grazie. Sì ho iniziato da un mese ed è bellissimo.      Marco      Fantastico! Devi farmi vedere qualche scatto prima o poi. Ti sta piacendo?      Elena      Moltissimo. Sto imparando a usare la macchina fotografica in manuale e a giocare con le luci.      Marco      Sembra davvero interessante. Se hai bisogno di una cavia per dei ritratti fammi un fischio!      Elena      Ahah perfetto ti terrò in considerazione. Grazie per l'interesse Marco.      Marco      Figurati sono curioso di vedere i tuoi progressi.,Marco,Elena,Marco chiede a Elena del suo nuovo corso di fotografia,No
null,Giulia      Allora Davide cosa prepariamo per la cena di stasera? Ho voglia di qualcosa di leggero.      Davide      Che ne dici di un'insalata di riso? Possiamo metterci verdure fresche mais e tonno.      Giulia      Perfetto mi piace l'idea. Passo io al supermercato a prendere quello che manca. Serve altro?      Davide      Magari prendi anche delle pesche per il dessert. Le ho viste in offerta ieri.      Giulia      Ottima idea. Allora ci vediamo più tardi a casa. Io porto la spesa tu inizi a cuocere il riso.      Davide      Va benissimo a dopo Giulia. Grazie!,Giulia,Davide,Giulia e Davide decidono cosa mangiare per cena e si dividono i compiti,No
null,Alessio      Sofia hai finito di leggere quel libro che ti ho prestato?      Sofia      Quasi! Mi mancano gli ultimi due capitoli ma mi sta prendendo tantissimo. Colpo di scena incredibile.      Alessio      Lo so vero? Quando l'ho letto sono rimasto a bocca aperta. Non te l'aspettavi eh?      Sofia      Assolutamente no. L'autore è stato un genio a nascondere gli indizi in quel modo.      Alessio      Sono contento che ti piaccia. Quando lo finisci ne parliamo meglio davanti a un caffè.      Sofia      Volentieri. Penso di finirlo stasera stessa. Grazie ancora per avermelo consigliato.,Alessio,Sofia,Alessio e Sofia parlano di un libro che lui le ha prestato,No
null,Chiara      Luca hai visto che hanno aperto una nuova gelateria in centro? Dicono sia ottima.      Luca      No non lo sapevo! Ci andiamo questo pomeriggio? Ho proprio voglia di un buon gelato.      Chiara      Sì andiamo! Io sono curiosa di provare il gusto al pistacchio salato.      Luca      Io invece vado sul classico cioccolato fondente non delude mai.      Chiara      Allora ci troviamo lì per le cinque? Così evitiamo l'ora di punta.      Luca      Perfetto per me. A dopo Chiara!      Chiara      A dopo!,Chiara,Luca,Chiara e Luca si organizzano per andare a provare una nuova gelateria,No
null,Simone      Ciao Anna hai novità riguardo al progetto per il cliente Rossi?      Anna      Ciao Simone sì. Ho appena finito la bozza della presentazione. Te la giro via mail così le dai un'occhiata.      Simone      Grande! La guardo subito. Hai avuto difficoltà con i dati che ti ho mandato?      Anna      No erano chiarissimi grazie. Ho solo un dubbio sulla grafica della slide finale.      Simone      Ok ne parliamo dopo che l'ho vista. Magari troviamo una soluzione insieme. Ottimo lavoro comunque.      Anna      Grazie Simone. Aspetto un tuo feedback allora.      Simone      Arriva subito.,Simone,Anna,Simone e Anna collaborano su un progetto di lavoro aggiornandosi a vicenda,No
null,Francesca      Matteo che ne dici se questo weekend andiamo a fare una passeggiata al parco? Il tempo dovrebbe essere bello.      Matteo      Ottima idea Francesca. Portiamo anche i cani così corrono un po'.      Francesca      Sì perfetto! Possiamo andare al Parco Nord che è più grande e ha l'area per i cani.      Matteo      Va benissimo. Partiamo verso le 10 di mattina? Così non fa ancora troppo caldo.      Francesca      Concordo. Allora preparo io l'acqua per noi e per loro.      Matteo      Io porto qualche snack. A sabato allora! Non vedo l'ora.      Francesca      Nemmeno io a sabato!,Francesca,Matteo,Francesca e Matteo organizzano una passeggiata al parco con i loro cani,No
null,Gabriele      Ciao Elisa come procede l'organizzazione della festa a sorpresa per Laura?      Elisa      Ciao Gabri! Bene direi. Ho già contattato quasi tutti i suoi amici e ho prenotato il locale.      Gabriele      Fantastico! C'è qualcosa che posso fare per aiutarti? Devo pensare al regalo?      Elisa      Sì esatto. Stiamo facendo una colletta. Ti mando il link per partecipare. Tu pensi alla torta?      Gabriele      Certo me ne occupo io. Conosco una pasticceria bravissima. Le prendo la sua preferita la millefoglie.      Elisa      Perfetto grazie mille per l'aiuto. Sarà una sorpresa bellissima.      Gabriele      Ne sono sicuro. Ci aggiorniamo presto.,Gabriele,Elisa,Gabriele ed Elisa stanno organizzando una festa a sorpresa per un'amica,No
null,Riccardo      Beatrice hai visto l'ultima stagione di quella serie tv di cui ti parlavo?      Beatrice      Non ancora! Non farmi spoiler ti prego. Ho intenzione di iniziarla questo fine settimana.      Riccardo      Tranquilla bocca cucita. Ti dico solo che merita tantissimo e il finale è spettacolare.      Beatrice      Ok mi hai messo ancora più curiosità. Spero di riuscire a vederla tutta.      Riccardo      Secondo me farai una maratona. Poi quando l'hai finita mi dici cosa ne pensi.      Beatrice      Assolutamente sì. Preparo i popcorn e mi ci butto a capofitto.      Riccardo      Brava fai bene!,Riccardo,Beatrice,Riccardo e Beatrice parlano di una serie tv che lei deve ancora iniziare,No
null,Sara      Ciao Lorenzo come è andato il tuo esame di stamattina?      Lorenzo      Ciao Sara! È andato bene credo. Era difficile ma penso di aver risposto a tutto.      Sara      Grande sono contenta per te! Te lo meritavi hai studiato tantissimo.      Lorenzo      Grazie mille per il supporto. Ora un po' di riposo e poi sotto con il prossimo.      Sara      Esatto. Se vuoi stasera per festeggiare possiamo ordinarci una pizza. Offro io!      Lorenzo      Sarebbe fantastico grazie! Accetto volentieri.      Sara      Perfetto allora ci sentiamo dopo per l'ordine.,Sara,Lorenzo,Sara si congratula con Lorenzo per un esame e gli propone di festeggiare,No
null,Tommaso      Ciao Alice hai deciso che regalo fare a tua sorella per il compleanno?      Alice      Ciao Tommaso sono ancora indecisa. Pensavo a un buono per un massaggio rilassante oppure a quel paio di orecchini che le piaceva.      Tommaso      Entrambe belle idee. Forse il massaggio è più originale e un'esperienza diversa.      Alice      Sì ci stavo pensando anche io. Dopo una settimana di lavoro se lo meriterebbe proprio.      Tommaso      Secondo me le piacerebbe tantissimo. È un pensiero carino e dimostra che tieni al suo benessere.      Alice      Hai ragione mi hai convinto. Grazie per il consiglio!      Tommaso      Figurati di niente. Fammi sapere se le è piaciuto.,Tommaso,Alice,Tommaso aiuta Alice a scegliere il regalo di compleanno per sua sorella,No
null,Andrea      Martina ti va di venire a correre con me domani mattina al parco?      Martina      Ciao Andrea! Volentieri ma non sono molto allenata. Andrai piano vero?      Andrea      Certo! Facciamo un'andatura tranquilla l'importante è muoversi un po' e stare all'aria aperta.      Martina      Allora va benissimo. A che ora?      Andrea      Pensavo per le otto così non fa troppo caldo. Ci vediamo all'ingresso del parco.      Martina      Perfetto a domani allora. Grazie per l'invito!      Andrea      Di nulla a domani Martina!,Andrea,Martina,Andrea invita Martina ad andare a correre insieme la mattina dopo,No
null,Federico      Ciao Laura come sta il tuo gattino nuovo? Si è ambientato?      Laura      Ciao Fede! Sì sta benissimo è un terremoto. Corre per tutta la casa e gioca con qualsiasi cosa.      Federico      Ahah immagino. È bellissimo avere un cucciolo in casa porta tanta allegria.      Laura      Verissimo. L'altra sera si è addormentato sulle mie gambe mentre guardavo un film. È dolcissimo.      Federico      Che tenero. Se vuoi un giorno passo a salutarlo. Adoro i gatti.      Laura      Certo passa quando vuoi! Ti aspettiamo.      Federico      Perfetto grazie!,Federico,Laura,Federico chiede a Laura notizie del suo nuovo gattino,No
null,Mattia      Ciao Valentina ho un problema con il computer potresti darmi una mano? So che te ne intendi.      Valentina      Ciao Mattia dimmi tutto. Cosa succede?      Mattia      È lentissimo ad avviarsi e ogni tanto si blocca. Non so cosa fare.      Valentina      Ok potrebbe essere un virus o semplicemente ha bisogno di una pulita. Hai provato a fare una scansione con l'antivirus?      Mattia      No non ci ho pensato. Come si fa?      Valentina      Ti spiego è semplice. Se vuoi dopo passo da te e lo facciamo insieme.      Mattia      Saresti un angelo grazie mille! Ti offro un caffè.      Valentina      Affare fatto a dopo.,Mattia,Valentina,Mattia chiede aiuto a Valentina per un problema al suo computer,No
null,Edoardo      Eleonora hai visto che c'è una mostra su Monet in città? Potremmo andarci.      Eleonora      Sì ne ho sentito parlare! Mi piacerebbe molto. Adoro gli impressionisti.      Edoardo      Anche a me. Che ne dici di andarci sabato pomeriggio? Ho visto che si può prenotare online.      Eleonora      Perfetto per me. Prenoti tu i biglietti? Poi ti do la mia parte.      Edoardo      Certo ci penso io. Sarà una bella occasione per vedere un po' d'arte.      Eleonora      Concordo. Grazie per avermelo proposto!      Edoardo      Di nulla a presto.,Edoardo,Eleonora,Edoardo ed Eleonora si organizzano per visitare insieme una mostra d'arte,No
null,Daniele      Ciao Irene come vanno le lezioni di chitarra? Stai facendo progressi?      Irene      Ciao Dani! Vanno bene grazie. Ho imparato a fare un paio di accordi e sto provando a suonare una canzone facile.      Daniele      Grande! Quale canzone? Sono curioso.      Irene      'Wonderwall' degli Oasis. Le dita mi fanno un po' male ma è una bella soddisfazione.      Daniele      Immagino. È un classico per iniziare. Vedrai che tra poco sarai bravissima. L'importante è la costanza.      Irene      Sì esatto. Mi sto impegnando. Appena riesco a suonarla bene te la faccio sentire.      Daniele      Non vedo l'ora. Continua così!,Daniele,Irene,Daniele si informa sui progressi di Irene con le lezioni di chitarra,No
